Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Ábrahámhegy;1395;3;;;;;1395;3;20
Ajka;372;22;463;125;482;154;466;301;24
Alsóörs;482;3;1358;8;;;1119;11;63
Aszófő;;;895;3;;;840;4;21
Badacsonytördemic;244;4;;;;;244;4;111
Bakonyoszlop;141;3;;;;;141;3;80
Balatonakali;855;5;1148;3;;;965;8;34
Balatonakarattya;652;3;;;;;652;3;26
Balatonalmádi;984;11;1083;32;;;1058;43;34
Balatonfüred;1170;8;1346;90;877;23;1245;121;48
Balatonfűzfő;510;6;736;46;681;5;707;57;36
Balatonkenese;1049;6;;;;;942;8;78
Balatonszepezd;889;3;;;;;889;3;65
Berhida;392;5;448;15;;;434;20;34
Csopak;1274;4;1143;7;;;1190;11;43
Devecser;135;10;;;;;145;11;64
Dudar;435;3;;;;;378;4;41
Farkasgyepű;277;3;;;;;216;4;109
Felsőörs;686;6;;;;;686;6;39
Hajmáskér;;;385;28;385;12;378;41;24
Herend;504;7;547;10;;;529;17;35
Kup;;;46;3;;;127;4;127
Lesencefalu;157;3;;;;;157;3;78
Litér;450;4;;;;;450;4;67
Magyargencs;106;3;;;;;106;3;91
Márkó;886;5;;;;;886;5;46
Mezőlak;;;;;;;347;3;13
Monostorapáti;273;5;;;;;273;5;77
Nagyacsád;247;3;;;;;247;3;26
Nagyvázsony;;;;;;;684;3;13
Nemesvámos;500;6;510;3;;;503;9;67
Noszlop;424;3;;;;;424;3;77
Nyárád;156;3;;;;;156;3;77
Ősi;269;4;;;;;288;6;58
Öskü;;;;;;;495;3;8
Pápa;388;40;378;193;447;46;391;279;40
Pétfürdő;;;358;10;441;30;421;40;22
Sümeg;249;18;320;19;;;286;38;58
Szentgál;237;5;;;;;296;6;80
Szentkirályszabadja;;;393;3;;;491;5;57
Tapolca;95;6;475;110;460;23;456;139;28
Tihany;;;;;;;1150;3;49
Tótvázsony;;;;;;;578;3;72
Ugod;200;3;;;;;200;3;60
Úrkút;56;3;;;;;123;5;81
Várpalota;413;16;503;163;518;82;503;261;23
Vaszar;231;4;;;;;231;4;31
VESZPRÉM;618;42;793;348;660;386;717;776;25
Zirc;393;7;554;19;;;514;27;38
Veszprém vármegye összesen;456;422;642;1260;584;763;592;2445;55